TransactionID,UserID,Amount,Timestamp,MerchantCategory,TransactionType,DeviceID,IPAddress,Latitude,Longitude,AvgTransactionAmount,TransactionFrequency,UnusualLocation,UnusualAmount,NewDevice,FailedAttempts,FraudFlag,PhoneNumber,BankName
1.00E+11,876de551-b728-4988-ad84-46904b38bac2,9147.06,02-01-2024 11:01,Travel,P2M,6204da2a-2531-4708-81c5-88765ca378ca,64.181.15.34,-4.4645195,-137.737768,8801.46,1/day,FALSE,TRUE,FALSE,0,0,3454013271,ICICI Bank
1.00E+11,b98124c0-b510-4eed-ad08-8de32794fd92,857.24,27-05-2024 02:22,Restaurants,P2P,dae2dc05-82e1-4873-936d-f274d0765025,119.161.246.217,-87.311513,-103.854063,7118.91,5/day,FALSE,TRUE,FALSE,3,1,9.10E+11,Kotak Mahindra Bank
1.00E+11,3693c184-d017-424d-85c3-90adb1b1e999,1791.78,21-06-2024 18:57,Clothing,P2P,1aaa5753-13e0-4514-b42c-f5c07d7c23bc,106.87.50.98,-85.587329,164.733524,1520.78,5/day,TRUE,FALSE,FALSE,0,0,9.11E+11,State Bank of India
1.01E+11,b12d2c2d-1c0a-490a-8090-a4e7d137c97e,3324.28,25-02-2024 17:57,Entertainment,P2P,c92ed1e6-b040-4e0e-9e62-fe7c19c460a3,131.184.208.56,-83.613773,-85.264222,4158.26,5/day,FALSE,TRUE,FALSE,4,1,9.19E+11,Kotak Mahindra Bank
1.01E+11,a669cdb4-836e-4939-af84-a4750fb1f9b4,8276.64,01-02-2024 04:39,Electronics,P2M,aff71ea6-c254-43a3-9fc7-cd2c5275c3a8,121.140.37.133,-41.2648075,3.229633,3464.33,3/day,TRUE,TRUE,FALSE,1,0,5500331745,HDFC Bank
1.01E+11,1aa1926f-291f-400a-91b9-57e69c491f36,1616.96,29-03-2024 09:46,Clothing,P2P,aafa03ef-0865-4f05-9761-9173e19fdb90,185.17.171.71,-33.715969,11.34561,1920.15,5/day,FALSE,FALSE,TRUE,3,1,9925994763,State Bank of India
1.01E+11,1fce682b-45d2-4702-9e3e-fcf8245779dc,4950.84,04-04-2024 03:12,Entertainment,P2P,e615377a-3c93-4655-84f7-7f9283d4162f,128.9.222.227,-55.263703,-120.15298,4118.54,3/day,TRUE,FALSE,FALSE,2,1,398051363,ICICI Bank
1.01E+11,f1327fc8-3c74-4548-9ae2-2ae964c040d0,1415.25,22-02-2024 14:50,Restaurants,P2P,214ac123-ec89-4b94-8322-f655343caaf8,195.176.101.157,-64.657027,81.733259,2087.82,3/day,TRUE,FALSE,FALSE,2,1,7527841424,ICICI Bank
1.01E+11,06916f8b-e450-4707-8a49-6e099ee46181,4497.72,16-04-2024 13:32,Restaurants,P2M,b14811ab-1859-4736-8e31-6e06880e693a,63.215.222.137,62.3960705,-94.339929,3828.93,3/day,FALSE,FALSE,TRUE,0,0,9.16E+11,HDFC Bank
1.01E+11,99b67ed9-73f2-414e-881e-c88f7a1a0276,4454.25,15-07-2024 08:46,Restaurants,P2P,26e54fc1-ae1c-444e-b22d-5c8da8b807fd,199.7.207.208,43.715878,-102.100909,8766.94,3/day,FALSE,FALSE,FALSE,3,0,6127427955,State Bank of India
1.01E+11,ad5174f6-80c3-4111-8ef2-e160e0ae5df6,3278.9,19-01-2024 18:01,Entertainment,P2P,4410748d-1a0c-41f9-ae13-7a40b8b9571d,23.173.98.125,-56.8837025,70.959347,9475.73,1/day,FALSE,FALSE,FALSE,3,0,3508085246,Kotak Mahindra Bank
1.01E+11,79477ad6-43fb-45da-85d4-0d30bb3aff38,1950.05,29-03-2024 07:29,Groceries,P2M,1a522b93-57a7-4348-989f-f38a37bd733d,159.109.26.183,60.752991,-62.676333,5919.26,3/day,FALSE,TRUE,FALSE,3,0,9.11E+11,Axis Bank
1.01E+11,7fefd5e1-a47f-4295-a25e-ee05dafce616,1205.16,04-04-2024 13:37,Travel,P2P,29b74583-9be7-47c4-b4d2-e6cd8d97f577,29.121.122.104,-21.980424,-174.149115,1147.8,1/day,TRUE,TRUE,FALSE,0,0,2985950329,Axis Bank
1.01E+11,c131b659-aba5-4197-b04c-7cdd4ea58349,3710.48,26-05-2024 18:53,Utilities,P2P,bbff19f7-c1dc-4c7e-bfcb-42c2b8549887,160.182.157.121,-4.9651335,76.923515,1320.11,1/day,FALSE,TRUE,TRUE,0,1,9.11E+11,ICICI Bank
1.02E+11,f816c8bd-5529-4aa8-9438-5231d432d132,5364.91,21-02-2024 20:48,Restaurants,P2M,6aaec497-bcf3-4c5d-887a-18f6e70d10c8,110.222.176.141,-35.7120915,-87.710195,8288.68,3/day,FALSE,FALSE,TRUE,4,1,9.18E+11,Axis Bank
1.02E+11,d146f71e-4d10-48e5-af17-cc6ca08fc574,3207.66,15-03-2024 01:05,Groceries,P2M,9fcfaa16-1ab5-438e-b2dd-698af1312e49,166.49.214.130,11.6341485,-129.485461,3931.45,1/day,TRUE,FALSE,TRUE,4,1,9.13E+11,State Bank of India
1.02E+11,7e4d86d2-b615-48ce-a63d-6494967199c1,9439.19,14-02-2024 03:50,Groceries,P2P,112671c2-5705-452a-8fdf-e0adcdc02957,172.175.83.54,-46.763906,179.288832,738.43,1/day,FALSE,FALSE,TRUE,1,0,8719729480,ICICI Bank
1.02E+11,4b6c4f42-6ce8-4ba2-9270-ef031bb377ea,9393.83,09-04-2024 05:26,Groceries,P2M,b29a6b3d-50f3-4fdf-b5cc-08f122efad71,220.76.47.154,-79.6693935,80.076347,3677.57,5/day,FALSE,FALSE,TRUE,1,0,9.20E+11,Bank of Baroda
1.02E+11,9d2c11b1-a31c-4617-a2ad-0d2f60172be4,9100.92,24-06-2024 03:47,Entertainment,P2M,aed751b3-6e91-4103-bc82-3730bfb9b391,43.162.83.186,-86.892199,-154.854907,1447.46,3/day,FALSE,TRUE,TRUE,2,0,388372548,State Bank of India
1.02E+11,146b5b72-ffae-43d2-93c3-d91eb9504c6c,7740.94,08-06-2024 09:28,Travel,P2M,a39baa79-7264-4e37-9ed2-30786a4e95a8,180.107.25.25,47.237294,-17.566806,1002.5,3/day,TRUE,TRUE,FALSE,1,0,2026822286,Bank of Baroda
1.02E+11,de2129a7-2be3-48ca-9949-e71aeb14d374,1996.29,04-04-2024 12:07,Travel,P2P,bc87a83a-4916-4824-a055-fd27aca19739,158.214.62.95,-29.869732,76.659928,4413.31,1/day,FALSE,FALSE,TRUE,3,1,3539751222,ICICI Bank
1.02E+11,aecc3cc6-0ae0-4dc7-b856-a9fd1afc4e21,871.48,01-04-2024 09:51,Travel,P2M,b789ad46-a5c1-40ee-9671-cf4e0a416631,168.220.232.127,61.885924,-135.859202,5929.05,1/day,FALSE,FALSE,TRUE,3,1,4843727055,ICICI Bank
1.02E+11,833d8df0-8dd4-4ee8-9080-01aa848d7577,740.15,22-04-2024 02:22,Clothing,P2P,75dbe4d3-56f7-4dd1-8c8d-d8f1526a7231,178.7.167.132,-50.6342005,51.501014,1917.93,5/day,TRUE,TRUE,TRUE,3,1,9.18E+11,State Bank of India
1.02E+11,2d017a76-6b66-40f8-91f9-5587e22fdcba,460.07,14-03-2024 04:38,Groceries,P2P,b7e1a0f6-b59f-4232-82dd-f0a0678e2fbf,218.121.72.204,58.977258,-88.908378,5773.68,5/day,FALSE,FALSE,TRUE,3,1,2162914371,Bank of Baroda
1.02E+11,ba444af6-98f3-4600-9fae-26f750141247,6392.44,14-02-2024 20:15,Restaurants,P2M,e9d3fb78-10fa-429e-90fc-3556560180c6,12.175.3.21,-78.359183,-12.319331,228.41,3/day,TRUE,TRUE,TRUE,1,0,184363985,ICICI Bank
1.02E+11,b9052b16-bbc3-492a-acd1-5f76470e554c,8477.05,16-04-2024 13:21,Entertainment,P2M,c4aec61d-4891-4c47-bebe-a8fd50c51c12,167.7.70.127,-24.26366,133.846018,2731.13,3/day,FALSE,TRUE,FALSE,1,1,8586146046,Axis Bank
1.02E+11,da103f6c-5802-4500-8aff-9ce6e7df9997,3975.68,20-04-2024 06:29,Groceries,P2M,51dfb16e-4a27-4fa0-9311-26d0591c127c,109.16.65.92,22.3516965,175.109096,6664.12,1/day,TRUE,TRUE,FALSE,2,0,9.15E+11,State Bank of India
1.02E+11,e20399e6-6ccf-4c22-abda-08a26803995f,3673.5,02-04-2024 21:56,Restaurants,P2M,04aa215b-a5b4-4840-b9fc-d730d9cfde8f,198.73.59.224,-84.8808285,-46.395898,7332.31,5/day,FALSE,TRUE,FALSE,2,0,3812532607,HDFC Bank
1.02E+11,addf03aa-30ba-43fd-aec1-892e4a16336b,8266.56,20-01-2024 13:41,Electronics,P2M,3669d162-c172-4ca4-9482-ec2593638272,208.8.63.151,62.784937,-97.479151,5432.52,5/day,TRUE,TRUE,TRUE,0,1,9713875924,ICICI Bank
1.02E+11,64205d6c-3d72-4733-ad42-51af03199cdd,1449.9,26-03-2024 07:41,Groceries,P2P,2f485775-fcc6-4681-9330-c5923bb69d6c,193.174.214.54,15.333497,19.304067,9815.29,3/day,TRUE,TRUE,TRUE,1,0,5453857985,HDFC Bank
1.03E+11,d5f8ff27-01ee-4804-88f3-379ad7be749e,8120.95,22-03-2024 07:50,Electronics,P2M,4244b267-4d58-4b64-988e-8b59f671500c,104.102.250.204,42.527452,-75.644104,9372.22,5/day,FALSE,TRUE,FALSE,4,1,2322226434,State Bank of India
1.03E+11,848c5bd3-6af1-4a6b-b067-f26d9b0b8f01,7504.19,23-05-2024 19:50,Clothing,P2M,f6bfff31-5aba-498f-866c-a0fb14924521,211.127.65.153,-88.4525885,124.677725,4944.97,5/day,TRUE,TRUE,FALSE,4,1,8875492500,HDFC Bank
1.03E+11,090f2b4c-2c95-4f3d-b9aa-6fd66a9db5c3,2356.1,15-03-2024 21:05,Electronics,P2M,22995c17-c061-4956-90b2-c150dc98cf61,121.40.101.172,51.1438655,-38.064585,3517.07,1/day,FALSE,TRUE,TRUE,4,1,9.11E+11,ICICI Bank
1.03E+11,81cdb68a-e879-416a-b808-831b827e242a,9145.8,08-03-2024 04:42,Electronics,P2M,e3bd6591-3e77-453d-be50-4aa91923e853,187.129.233.192,-16.319735,157.24372,3761.38,3/day,FALSE,TRUE,FALSE,1,0,9.14E+11,Bank of Baroda
1.03E+11,9d4d7cab-3f15-49a1-9b6b-cfb8f6efe576,8875.69,09-03-2024 07:06,Entertainment,P2P,17d0338a-52c1-4377-a076-24cb4ee2fc7f,72.147.189.225,36.6368565,91.505422,9664.75,5/day,TRUE,FALSE,TRUE,2,0,9.15E+11,Kotak Mahindra Bank
